"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"1","0",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,47,13748,8,1
"2","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,33,13749,8,1
"3","2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,13,13750,8,1
"4","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,7,13751,8,1
"5","4",FALSE,TRUE,"Misty",0.64,0.5909,0.78,0.1343,4,13752,8,1
"6","5",FALSE,TRUE,"Misty",0.64,0.5909,0.78,0.1343,49,13753,8,1
"7","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0.1343,185,13754,8,1
"8","7",FALSE,TRUE,"Misty",0.64,0.5758,0.83,0.1343,487,13755,8,1
"9","8",FALSE,TRUE,"Misty",0.66,0.6061,0.78,0.194,681,13756,8,1
"10","9",FALSE,TRUE,"Misty",0.68,0.6364,0.74,0.0896,350,13757,8,1
"11","10",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.0896,236,13758,8,1
"12","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.0896,234,13759,8,1
"13","12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1045,284,13760,8,1
"14","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.1642,280,13761,8,1
"15","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,263,13762,8,1
"16","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,295,13763,8,1
"17","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2836,479,13764,8,1
"18","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1642,837,13765,8,1
"19","18",FALSE,TRUE,"Light Precipitation",0.76,0.7121,0.62,0.2239,891,13766,8,1
"20","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,652,13767,8,1
"21","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,513,13768,8,1
