Servicio Meteorológico Nacional,,,,,,,,,,
Red: SMN,,,,,,,,,,
Estación: ENCBII,,,,,,,,,,
Estado: Ciudad de México,,,,,,,,,,
Municipio: Gustavo A. Madero,,,,,,,,,,
Latitud (N): 19.49866944,,,,,,,,,,
Longitud (O): -99.14545278,,,,,,,,,,
Altitud: 2240,,,,,,,,,,
,,,,,,,,,,
Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
2022-01-28 15:30:00,2022-01-28 21:30:00,1.0,324.0,4.7,9.7,26.6,42,782,0,419
2022-01-27 15:40:00,2022-01-27 21:40:00,303.0,289.0,7.2,17.4,27.5,40,780.4,0,589
2022-01-27 15:30:00,2022-01-27 21:30:00,133.0,229.0,3.2,7.6,28.1,40,780.6,0,320
2022-01-27 14:30:00,2022-01-27 20:30:00,224.0,283.0,3.5,8.8,26.8,43,781.2,0,311
2022-01-25 16:20:00,2022-01-25 22:20:00,204.0,287.0,3.3,10,25.3,42,778.4,0,462
2022-01-25 16:10:00,2022-01-25 22:10:00,218.0,278.0,4.4,15.5,25.3,42,778.4,0,553
2022-01-25 16:00:00,2022-01-25 22:00:00,251.0,298.0,5.8,15.1,24.8,43,778.4,0,355
2022-01-25 15:50:00,2022-01-25 21:50:00,254.0,287.0,8,22.9,25.6,40,778.4,0,543
2022-01-25 15:40:00,2022-01-25 21:40:00,242.0,310.0,6.4,17.3,25.9,41,778.4,0,564
2022-01-25 15:30:00,2022-01-25 21:30:00,249.0,289.0,7.7,19.2,25.8,40,778.4,0,457
2022-01-23 16:00:00,2022-01-23 22:00:00,203.0,256.0,3.2,7.8,26.2,44,779.2,0,475
2022-01-23 15:50:00,2022-01-23 21:50:00,56.0,72.0,5.8,12.7,25.3,45,779.3,0,544
2022-01-23 15:40:00,2022-01-23 21:40:00,61.0,93.0,4.8,12.4,25.6,45,779.3,0,497
2022-01-23 15:30:00,2022-01-23 21:30:00,111.0,231.0,3.6,10.9,25.8,45,779.5,0,248
2022-01-23 15:10:00,2022-01-23 21:10:00,149.0,222.0,2.3,6.2,25.5,46,779.6,0,177
2022-01-23 15:00:00,2022-01-23 21:00:00,118.0,70.0,3.7,11,24.3,48,779.8,0,133
2022-01-23 14:50:00,2022-01-23 20:50:00,62.0,329.0,4.7,9.7,24,48,779.9,0,113
2022-01-23 14:40:00,2022-01-23 20:40:00,80.0,97.0,4.7,13.4,23.9,48,780.1,0,160
2022-01-23 14:30:00,2022-01-23 20:30:00,72.0,278.0,3.9,13.2,23.9,49,780.3,0,240
2022-01-20 14:40:00,2022-01-20 20:40:00,273.0,316.0,4.5,8.5,24.2,40,780.1,0,241
2022-01-20 14:30:00,2022-01-20 20:30:00,42.0,72.0,6.2,12,23.3,40,780.3,0,306
2022-01-19 13:30:00,2022-01-19 19:30:00,158.0,225.0,3.9,11.3,22.2,46,781.6,0,125
2022-01-18 15:20:00,2022-01-18 21:20:00,308.0,290.0,6.4,12.7,23.8,41,780.5,0,156
2022-01-18 15:10:00,2022-01-18 21:10:00,326.0,343.0,5.8,13.3,23.7,45,780.5,0,243
2022-01-18 15:00:00,2022-01-18 21:00:00,292.0,339.0,5.1,11.3,22.5,47,780.6,0,220
2022-01-18 14:50:00,2022-01-18 20:50:00,303.0,323.0,7.3,13.9,22.3,48,780.7,0,196
2022-01-18 14:40:00,2022-01-18 20:40:00,259.0,256.0,7.2,18,23.3,47,780.9,0,232
2022-01-18 14:30:00,2022-01-18 20:30:00,282.0,318.0,10.7,23,23.5,46,781,0,280
2022-01-18 14:10:00,2022-01-18 20:10:00,270.0,316.0,6.7,15.6,23.3,45,781.2,0,221
2022-01-18 14:00:00,2022-01-18 20:00:00,137.0,354.0,2.2,4.2,23.5,46,781.2,0,255
2022-01-18 13:50:00,2022-01-18 19:50:00,29.0,278.0,4,9.2,22.6,47,781.5,0,301
2022-01-18 13:40:00,2022-01-18 19:40:00,119.0,44.0,4.8,9.6,21.9,48,781.5,0,223
2022-01-18 13:30:00,2022-01-18 19:30:00,351.0,320.0,4.4,10.2,22,48,781.7,0,194
2022-01-17 16:20:00,2022-01-17 22:20:00,93.0,348.0,3.8,8.2,22.4,43,780,0,400
2022-01-17 16:10:00,2022-01-17 22:10:00,350.0,347.0,5.5,10.7,23.1,43,780.1,0,448
2022-01-17 16:00:00,2022-01-17 22:00:00,257.0,284.0,3.2,6.9,25.3,45,780.1,0,428
2022-01-17 15:50:00,2022-01-17 21:50:00,145.0,288.0,2.5,7.1,24.3,46,780.2,0,360
2022-01-17 15:40:00,2022-01-17 21:40:00,172.0,225.0,2.4,4.9,24,46,780.2,0,254
2022-01-17 15:30:00,2022-01-17 21:30:00,242.0,316.0,4.6,9.7,23.2,48,780.3,0,224
2022-01-17 15:00:00,2022-01-17 21:00:00,297.0,348.0,7.3,12.7,21.3,52,780.5,0,144
2022-01-17 14:50:00,2022-01-17 20:50:00,273.0,326.0,7.3,13.1,21.3,52,780.6,0,149
2022-01-17 14:40:00,2022-01-17 20:40:00,314.0,342.0,5,11.2,21.7,51,780.6,0,166
2022-01-17 14:30:00,2022-01-17 20:30:00,89.0,85.0,2.7,6.9,21.9,52,780.7,0,133
2022-01-17 13:30:00,2022-01-17 19:30:00,54.0,358.0,6.2,12.9,21.1,57,782.3,0,248
2022-01-17 13:20:00,2022-01-17 19:20:00,73.0,98.0,3.5,13.6,20.7,59,782.4,0,195
2022-01-17 13:10:00,2022-01-17 19:10:00,94.0,314.0,3.5,10.3,20.1,59,782.3,0,181
2022-01-17 13:00:00,2022-01-17 19:00:00,42.0,116.0,5.4,10.8,20.1,60,782.4,0,146
2022-01-17 12:50:00,2022-01-17 18:50:00,49.0,63.0,5.2,10.6,19.3,62,782.7,0,132
2022-01-17 12:40:00,2022-01-17 18:40:00,39.0,71.0,5.9,9.9,19.5,61,782.9,0,158
2022-01-17 12:30:00,2022-01-17 18:30:00,189.0,251.0,3.2,5.7,19.6,62,783.1,0,162
2022-01-16 14:20:00,2022-01-16 20:20:00,122.0,165.0,3.2,10.6,22.9,53,780.6,0,316
2022-01-16 14:10:00,2022-01-16 20:10:00,145.0,239.0,2.2,5.6,22.9,54,780.8,0,300
2022-01-16 14:00:00,2022-01-16 20:00:00,129.0,336.0,2.3,4.9,21.9,56,781,0,313
2022-01-16 13:50:00,2022-01-16 19:50:00,242.0,333.0,4.6,9.9,20.7,58,781.2,0,204
2022-01-16 13:40:00,2022-01-16 19:40:00,112.0,202.0,3.5,10.9,20.7,58,781.4,0,149
2022-01-16 13:30:00,2022-01-16 19:30:00,72.0,291.0,4.2,10.2,20.7,58,781.6,0,184
2022-01-16 12:40:00,2022-01-16 18:40:00,82.0,104.0,4.3,11.2,19.2,62,782.5,0,131
2022-01-16 12:30:00,2022-01-16 18:30:00,150.0,350.0,2.3,4.8,18.6,63,782.8,0,119
2022-01-15 16:20:00,2022-01-15 22:20:00,23.0,352.0,10.5,19.3,22.8,44,779.6,0,378
2022-01-15 16:10:00,2022-01-15 22:10:00,335.0,330.0,10.2,19.7,23,45,779.6,0,448
2022-01-15 16:00:00,2022-01-15 22:00:00,18.0,57.0,9.8,20.8,23.3,44,779.6,0,499
2022-01-15 15:50:00,2022-01-15 21:50:00,3.0,343.0,13,26.9,23.7,43,779.7,0,539
2022-01-15 15:40:00,2022-01-15 21:40:00,304.0,290.0,12.7,25.5,24.3,42,779.6,0,572
2022-01-15 15:30:00,2022-01-15 21:30:00,302.0,306.0,11.2,22.5,24.5,41,779.7,0,466
2022-01-15 15:20:00,2022-01-15 21:20:00,347.0,351.0,8.2,19.8,23.5,42,779.8,0,143
2022-01-15 15:10:00,2022-01-15 21:10:00,2.0,345.0,8.7,17.7,23.4,42,779.9,0,131
2022-01-15 15:00:00,2022-01-15 21:00:00,323.0,358.0,8.4,19.6,23.6,41,780,0,142
2022-01-15 14:50:00,2022-01-15 20:50:00,334.0,343.0,9.6,20.6,23.5,41,780.1,0,135
2022-01-15 14:40:00,2022-01-15 20:40:00,301.0,326.0,11.1,21.1,24.2,40,780.3,0,159
2022-01-15 14:30:00,2022-01-15 20:30:00,293.0,325.0,10.7,21.1,23.8,41,780.4,0,193
2022-01-14 17:00:00,2022-01-14 23:00:00,256.0,313.0,6.4,15,23.2,24,779.7,0,39
2022-01-14 16:50:00,2022-01-14 22:50:00,61.0,89.0,5.3,12.4,23.3,23,779.7,0,62
2022-01-14 16:40:00,2022-01-14 22:40:00,339.0,344.0,7,17.3,23.6,23,779.7,0,226
2022-01-14 16:30:00,2022-01-14 22:30:00,303.0,346.0,5.5,10.7,23.7,23,779.8,0,435
