x1,y1,x2,y2
160,239,586,665
114,31,154,71
228,27,277,76
49,87,98,136
107,87,157,137
229,87,277,135
169,87,217,135
51,29,97,75
168,28,217,77
1170,129,1226,185
859,47,938,126
770,322,825,377
1046,361,1138,453
523,97,986,560
321,520,419,618
1500,327,2559,1386
1893,1507,2276,1890
363,360,1016,1013
1209,1420,1315,1526
546,1356,839,1649
451,1651,524,1724
438,1622,511,1695
162,98,247,183
103,46,163,106
123,33,176,86
207,44,262,99
436,63,484,111
48,47,101,100
20,103,71,154
175,90,228,143
278,55,332,109
365,61,412,108
271,123,320,172
95,100,149,154
379,207,430,258
372,179,435,242
334,273,378,317
