title,price,year,kms,power,cambio
Jeep Compass,40.990€,2022,3.674km,130CV,Manual
Volkswagen Tiguan,37.990€,2021,15.185km,245CV,Automático
Hyundai TUCSON,,2023,11.733km,150CV,Manual
Opel Crossland,24.790€,2022,33.334km,110CV,Manual
DS DS 7 Crossback,27.990€,2019,85.899km,180CV,Automático
BMW X2,24.990€,2018,72.492km,150CV,Automático
,,2018,72.492km,150CV,Automático
Toyota Rav4,29.490€,2020,74.292km,218CV,Automático
Renault Kadjar,21.990€,2021,75.732km,115CV,Manual
Peugeot 2008,25.290€,2023,3km,100CV,Manual
SEAT Ateca,23.490€,2021,90.078km,150CV,Automático
Kia XCeed,22.690€,2021,66.595km,141CV,Automático
Peugeot 2008,18.490€,2019,36.558km,130CV,Automático
,,2019,36.558km,130CV,Automático
Kia Stonic,18.490€,2022,54.483km,84CV,Manual
Kia XCeed,21.490€,2021,20.763km,120CV,Manual
Hyundai Kona,18.490€,2020,94.433km,141CV,Automático
Renault Arkana,28.990€,2023,557km,140CV,Automático
SEAT Arona,19.990€,2019,58.969km,150CV,Manual
Mercedes Clase GLA,22.490€,2016,105.869km,136CV,Manual
Volkswagen Tiguan,27.990€,2021,68.484km,150CV,Automático
Skoda Karoq,22.990€,2021,60.747km,115CV,Manual
Volvo XC60,35.990€,2019,69.639km,390CV,Automático
Volvo XC40,31.990€,2019,62.423km,150CV,Automático
Honda HR-V,20.990€,2018,128.184km,130CV,Manual
Lynk & Co 01,30.990€,2022,42.762km,261CV,Automático
Kia Stonic,16.990€,2018,95.346km,120CV,Manual
Volvo XC90,47.990€,2019,56.325km,235CV,Automático
Peugeot 2008,21.990€,2022,34.791km,100CV,Manual
Jaguar E-Pace,42.990€,2021,41.106km,163CV,Automático
,,2021,41.106km,163CV,Automático
Peugeot 3008,17.990€,2017,129.445km,130CV,Manual
Peugeot 2008,22.990€,2021,2.488km,110CV,Manual
Jeep Compass,20.990€,2019,116.448km,120CV,Manual
Ford Puma,20.490€,2021,33.746km,125CV,Manual
Lexus UX,28.990€,2020,63.694km,184CV,Automático
Ford Kuga,17.490€,2018,74.110km,150CV,Manual
Citroën C5 Aircross,21.490€,2019,33.925km,131CV,Manual
Kia Niro,25.490€,2021,32.705km,141CV,Automático
Renault Kadjar,19.990€,2021,78.466km,115CV,Manual
Volkswagen Tiguan,26.990€,2019,52.434km,115CV,Manual
Hyundai TUCSON,25.490€,2022,9.686km,150CV,Manual
Kia Sportage,,2019,53.338km,132CV,Manual
,,2019,53.338km,132CV,Manual
Peugeot 3008,17.990€,2017,129.445km,130CV,Manual
Peugeot 2008,22.990€,2021,2.488km,110CV,Manual
Jeep Compass,20.990€,2019,116.448km,120CV,Manual
Ford Puma,20.490€,2021,33.746km,125CV,Manual
Lexus UX,28.990€,2020,63.694km,184CV,Automático
Ford Kuga,17.490€,2018,74.110km,150CV,Manual
Citroën C5 Aircross,21.490€,2019,33.925km,131CV,Manual
