Número de Viaje,Tipo de Trayecto,Ciudad de Origen,Ciudad de Destino,Hora de Salida,Hora de Llegada,Fecha IDA,Fecha VUELTA,Precios
1,IDA,VGO,MAD,09:20,10:35,VGO,20240229,[]
2,IDA,VGO,MAD,06:30,07:50,VGO,20240229,[]
3,IDA,VGO,MAD,17:40,19:00,VGO,20240229,[]
4,IDA,VGO,MAD,09:20,10:35,VGO,20240229,[]
5,IDA,VGO,MAD,09:20,10:35,VGO,20240229,[]
6,IDA,VGO,MAD,09:20,10:35,VGO,20240229,[]
7,IDA,VGO,MAD,17:00,18:10,VGO,20240229,[]
8,IDA,VGO,MAD,17:00,18:10,VGO,20240229,[]
9,IDA,VGO,MAD,21:05,22:15,VGO,20240229,[]
10,IDA,VGO,MAD,21:05,22:15,VGO,20240229,[]
11,IDA,VGO,MAD,06:30,07:50,VGO,20240229,[]
12,IDA,VGO,MAD,06:30,07:50,VGO,20240229,[]
13,IDA,VGO,MAD,06:30,07:50,VGO,20240229,[]
14,IDA,VGO,MAD,17:40,19:00,VGO,20240229,[]
15,IDA,VGO,MAD,17:40,19:00,VGO,20240229,[]
16,IDA,VGO,MAD,17:40,19:00,VGO,20240229,[]
17,IDA,VGO,MAD,13:30,14:45,VGO,20240229,[]
18,IDA,VGO,MAD,08:40,09:50,VGO,20240229,[]
19,IDA,VGO,MAD,08:40,09:50,VGO,20240229,[]
20,IDA,VGO,MAD,12:35,13:45,VGO,20240229,[]
21,IDA,VGO,MAD,12:35,13:45,VGO,20240229,[]
22,IDA,VGO,MAD,17:00,18:10,VGO,20240229,[]
23,IDA,VGO,MAD,21:05,22:15,VGO,20240229,[]
24,IDA,VGO,MAD,09:20,10:35,VGO,20240229,[]
25,IDA,VGO,MAD,06:30,07:50,VGO,20240229,[]
