id,pregunta
[0],Ocio = Fantasmas y mentiras.
[1],Juego seguro en apuestas deportivas
[2],Luchando contra la Ludopatia
[3],Cuenta bloqueada por comentario inapropiado
[4],Mi triste experiencia
[5],arruinado con las apuestas
[6],"La ludopatía no es una enfermedad, sino un síndrome."
[7],Experiencia con betway
[8],Reflexiones de un apostador online acercándose a los 50
[9],Problema cuando gano
[10],Problemas acrecentados durante los últimos meses
[11],Quitar Autodenuncia para entrar en Salones de Juego
[12],Necesito ayuda??
[13],ENCUESTA LUDOPATÍA TIPO TEST (duración 30 seg.)!!
[14],Uno de los problemas en las apuestas deportivas
[15],PerdÃ* dinero ahorrado de mis padres
[16],Bloquear casino juego responsable
[17],No me puedo salir!
[18],Soy ludópata y necesito ayuda
[19],Hundirme más y más con las apuestas...
[20],No va más...? Tras lo sucedido creo que debo dejarlo
[21],mi triste larga historia en el mundo de las apuestas
[22],Necesito ayuda
[23],"Indicios de ludopatía? A pesar de todo lo que he perdido, aún tengo ganas de seguir."
[24],Asociación de Jugadores Anónimos
[25],Jugando a recuperar - Trading en Betfair [Capítulo 60]
[26],Reportaje sobre ludopatía
[27],Mi problema
[28],otra visión sobre la ludopatía
[29],"Dejad hablar de dinero, de euros"
[30],¿los puedo denunciar?
[31],Como hacer un juego responsable y con control?
id,pregunta
[0],Ocio = Fantasmas y mentiras.
[1],Juego seguro en apuestas deportivas
[2],Luchando contra la Ludopatia
[3],Cuenta bloqueada por comentario inapropiado
[4],Mi triste experiencia
[5],arruinado con las apuestas
[6],"La ludopatía no es una enfermedad, sino un síndrome."
[7],Experiencia con betway
[8],Reflexiones de un apostador online acercándose a los 50
[9],Problema cuando gano
[10],Problemas acrecentados durante los últimos meses
[11],Quitar Autodenuncia para entrar en Salones de Juego
[12],Necesito ayuda??
[13],ENCUESTA LUDOPATÍA TIPO TEST (duración 30 seg.)!!
[14],Uno de los problemas en las apuestas deportivas
[15],PerdÃ* dinero ahorrado de mis padres
[16],Bloquear casino juego responsable
[17],No me puedo salir!
[18],Soy ludópata y necesito ayuda
[19],Hundirme más y más con las apuestas...
[20],No va más...? Tras lo sucedido creo que debo dejarlo
[21],mi triste larga historia en el mundo de las apuestas
[22],Necesito ayuda
[23],"Indicios de ludopatía? A pesar de todo lo que he perdido, aún tengo ganas de seguir."
[24],Asociación de Jugadores Anónimos
[25],Jugando a recuperar - Trading en Betfair [Capítulo 60]
[26],Reportaje sobre ludopatía
[27],Mi problema
[28],otra visión sobre la ludopatía
[29],"Dejad hablar de dinero, de euros"
[30],¿los puedo denunciar?
[31],Como hacer un juego responsable y con control?
id,pregunta
[0],Ocio = Fantasmas y mentiras.
[1],Juego seguro en apuestas deportivas
[2],Luchando contra la Ludopatia
[3],Cuenta bloqueada por comentario inapropiado
[4],Mi triste experiencia
[5],arruinado con las apuestas
[6],"La ludopatía no es una enfermedad, sino un síndrome."
[7],Experiencia con betway
[8],Reflexiones de un apostador online acercándose a los 50
[9],Problema cuando gano
[10],Problemas acrecentados durante los últimos meses
[11],Quitar Autodenuncia para entrar en Salones de Juego
[12],Necesito ayuda??
[13],ENCUESTA LUDOPATÍA TIPO TEST (duración 30 seg.)!!
[14],Uno de los problemas en las apuestas deportivas
[15],PerdÃ* dinero ahorrado de mis padres
[16],Bloquear casino juego responsable
[17],No me puedo salir!
[18],Soy ludópata y necesito ayuda
[19],Hundirme más y más con las apuestas...
[20],No va más...? Tras lo sucedido creo que debo dejarlo
[21],mi triste larga historia en el mundo de las apuestas
[22],Necesito ayuda
[23],"Indicios de ludopatía? A pesar de todo lo que he perdido, aún tengo ganas de seguir."
[24],Asociación de Jugadores Anónimos
[25],Jugando a recuperar - Trading en Betfair [Capítulo 60]
[26],Reportaje sobre ludopatía
[27],Mi problema
[28],otra visión sobre la ludopatía
[29],"Dejad hablar de dinero, de euros"
[30],¿los puedo denunciar?
[31],Como hacer un juego responsable y con control?
