IDCliente,Importecompra,Fechacompra,Categoria,Numerodeclicks,Fechadenacimiento,Codigopostalenvio,Tiemporealizacioncompra,Clienteexistente
7302,"412,734791193503",24/11/20,CPU,12,24/03/04,15983,60,SI
1380,"529,537228589387",04/08/22,RATONES Y TECLADOS,16,19/02/94,21668,80,SI
5747,"707,833722678856",09/03/22,MONITOR,5,22/09/85,2246,25,SI
8383,"196,881214919621",02/05/22,CPU,1,28/06/84,15568,5,SI
3462,"771,172392957508",27/01/21,ALMACENAMIENTO,9,17/04/72,15684,45,NO
3922,"220,281940980377",24/06/22,RATONES Y TECLADOS,9,18/03/81,7711,45,NO
3934,"625,570024974807",14/12/18,MEMORIA,9,09/05/79,44121,45,NO
8021,"268,500143551309",20/02/15,CPU,15,20/09/01,24549,75,NO
6671,"44,8126451748506",20/07/19,ALMACENAMIENTO,7,07/11/83,29738,35,NO
7459,"784,614465022162",18/03/18,MONITOR,2,04/06/91,45687,10,NO
2652,"885,06668742108",20/06/18,ALMACENAMIENTO,14,14/12/02,37110,70,NO
5500,"700,692696763452",27/09/22,MONITOR,2,10/06/98,35571,10,SI
5673,"437,846789222295",12/10/20,ALMACENAMIENTO,19,28/12/80,17178,95,SI
1979,"88,1660980839507",20/02/21,CPU,18,05/12/91,22132,90,SI
4111,"605,500649939687",05/08/22,RATONES Y TECLADOS,12,12/10/76,45004,60,SI
2602,"694,409355650722",06/02/19,ALMACENAMIENTO,17,01/11/74,33700,85,SI
2089,"552,104172675334",24/02/15,ALMACENAMIENTO,10,26/05/73,46162,50,NO
3109,"756,236092088184",02/09/16,CPU,1,26/09/92,37700,5,NO
2507,"420,057525877395",12/12/22,CPU,7,21/11/03,17250,35,NO
9087,"223,739120385146",14/03/15,RATONES Y TECLADOS,11,11/05/01,33936,55,NO
9594,"704,52887270478",26/01/17,ALMACENAMIENTO,6,24/01/73,8445,30,NO
6344,"780,344614932563",09/05/17,MEMORIA,,16/01/82,1450,,NO
7654,"618,02704502138",20/09/22,CPU,12,17/01/95,17245,60,NO
5092,"708,612348634111",15/03/15,ALMACENAMIENTO,20,26/01/95,49543,100,NO
9252,"574,442708848777",25/03/19,ALMACENAMIENTO,10,13/08/79,46611,50,SI
7214,"201,680035125274",29/07/15,RATONES Y TECLADOS,2,04/06/70,26329,10,SI
9227,"924,159168864251",15/07/18,RATONES Y TECLADOS,16,24/08/95,26588,80,NO
1380,"415,218642568045",29/08/18,ALMACENAMIENTO,6,19/02/94,3829,30,SI
5854,"877,037890434317",29/03/21,MEMORIA,4,06/02/80,23600,20,NO
8594,"541,778075511099",07/08/20,MEMORIA,9,02/10/74,25134,45,NO
3462,"771,172392957508",27/01/21,ALMACENAMIENTO,9,17/04/72,15684,45,NO
3853,"642,574601831831",13/04/22,ALMACENAMIENTO,12,04/06/77,18129,60,NO
9270,"544,971398417972",09/11/18,CPU,11,08/10/73,8289,55,NO
5509,"794,53849257176",09/09/19,CPU,2,07/09/81,48010,10,NO
1533,"479,585058303278",22/07/18,MEMORIA,14,20/06/01,44161,70,NO
8000,"413,278937385303",01/09/16,RATONES Y TECLADOS,14,25/04/82,26324,70,NO
4003,"122,886792075015",03/12/21,CPU,8,06/11/78,33746,40,NO
5600,"795,47688375187",22/03/18,MEMORIA,9,28/11/91,42181,45,NO
7932,"90,0905034758164",30/09/16,MONITOR,18,09/06/00,32360,90,NO
8299,"686,657952390832",12/01/17,MONITOR,13,22/06/05,10100,65,NO
4466,"33,7620080176868",04/02/17,MEMORIA,4,27/05/71,31411,20,NO
5758,"495,760199507014",12/11/22,MONITOR,16,22/02/93,35217,80,NO
8287,"902,232060578305",03/10/22,ALMACENAMIENTO,15,13/11/04,14480,75,NO
2570,"663,746537016471",04/07/16,MONITOR,18,02/10/05,38713,90,NO
3473,"541,568614174659",27/09/20,MEMORIA,2,10/11/91,7669,10,NO
1796,"410,22062935875",26/04/19,CPU,7,13/08/89,9462,35,NO
9911,"481,653345331615",06/12/20,MONITOR,12,20/05/74,27152,60,NO
7191,"540,327777292546",07/12/18,ALMACENAMIENTO,17,26/12/04,39638,85,NO
9715,"373,791521619493",11/02/20,MEMORIA,11,19/07/98,27826,55,NO
9623,"526,049695724409",11/06/15,RATONES Y TECLADOS,4,18/01/73,29787,20,NO
